"ID","time","lon","lat","centre_lon","centre_lat","d2c","step","angle"
"PET-C",2012-01-29 02:50:49,-8.96510983,-60.89589245,2.158636873,-69.9442646,1129.33496065471,9.94675657844716,0.398315973840061
"PET-C",2012-01-29 03:20:49,-8.869998183,-60.97222449,2.158636873,-69.9442646,1119.51326885174,13.7382610339016,-0.0557638146582628
"PET-C",2012-01-29 03:50:49,-8.750523458,-61.0810392,2.158636873,-69.9442646,1105.84760437746,11.4082279951698,-0.265420788125006
"PET-C",2012-01-29 04:20:49,-8.70360035,-61.18087176,2.158636873,-69.9442646,1094.59357772403,7.20227004917563,-1.16235744699877
"PET-C",2012-01-29 04:50:49,-8.811779918,-61.21898911,2.158636873,-69.9442646,1092.88776990485,10.1498992763879,1.37439140244436
"PET-C",2012-01-29 05:20:49,-8.731942729,-61.30156133,2.158636873,-69.9442646,1082.74655835197,6.41738960839766,-1.19738420676355
"PET-C",2012-01-29 05:50:49,-8.814737404,-61.34319051,2.158636873,-69.9442646,1080.18219186144,7.43212270251528,0.373174695810225
"PET-C",2012-01-29 06:20:49,-8.86751114,-61.40489068,2.158636873,-69.9442646,1074.95323155247,6.1747594820631,-1.41066766924869
"PET-C",2012-01-29 06:50:49,-8.980045364,-61.39227009,2.158636873,-69.9442646,1078.61191651861,11.0328281190062,-0.461060861363232
"PET-C",2012-01-29 07:20:49,-9.138957293,-61.32915724,2.158636873,-69.9442646,1088.43499287272,2.5428916449553,-2.31115535187244
"PET-C",2012-01-29 07:50:49,-9.091940277,-61.32595438,2.158636873,-69.9442646,1087.76552770143,3.00162188863727,-2.05490746317555
"PET-C",2012-01-29 08:20:49,-9.110840417,-61.35131421,2.158636873,-69.9442646,1085.57143481376,8.61785074826482,-0.353400032781317
"PET-C",2012-01-29 08:50:49,-9.214426886,-61.41057051,2.158636873,-69.9442646,1081.72875850352,11.2663587710465,-1.22387030921541
"PET-C",2012-01-29 09:20:49,-9.41235939,-61.37574679,2.158636873,-69.9442646,1089.55019054187,12.7991648742549,-0.570897956366997
"PET-C",2012-01-29 09:50:49,-9.556766058,-61.2842175,2.158636873,-69.9442646,1102.0106600463,15.2435801814353,-2.9188845148616
"PET-C",2012-01-29 10:20:49,-9.338424525,-61.37199127,2.158636873,-69.9442646,1088.33270483609,5.8883059858485,-0.775181999332089
"PET-C",2012-01-29 10:50:49,-9.327709252,-61.42458112,2.158636873,-69.9442646,1082.74167671654,4.89689433279851,0.872690050276401
"PET-C",2012-01-29 11:20:49,-9.251982658,-61.44940174,2.158636873,-69.9442646,1078.57656689117,11.7823214965768,-2.27479057858744
"PET-C",2012-01-29 11:50:49,-9.465289866,-61.47702851,2.158636873,-69.9442646,1080.40210142239,15.0138463681564,-0.191883521507792
"PET-C",2012-01-29 12:20:49,-9.746322752,-61.48671489,2.158636873,-69.9442646,1085.63428329711,9.72049760337143,2.04415895853691
"PET-C",2012-01-29 12:50:49,-9.651124354,-61.56116063,2.158636873,-69.9442646,1075.97887973835,16.8124655250559,0.366744396097983
"PET-C",2012-01-29 13:20:49,-9.399828276,-61.65302092,2.158636873,-69.9442646,1061.107001091,15.5493594427526,0.0392704361475903
"PET-C",2012-01-29 13:50:49,-9.159934657,-61.73357754,2.158636873,-69.9442646,1047.67477382263,9.20450130383507,3.033733579978
"PET-C",2012-01-29 14:20:49,-9.290032389,-61.67873337,2.158636873,-69.9442646,1056.08557123504,6.0141874349271,-2.49365591589398
"PET-C",2012-01-29 14:50:49,-9.176770969,-61.68285035,2.158636873,-69.9442646,1053.1926580165,7.61699288379845,-0.402954191172167
"PET-C",2012-01-29 15:20:49,-9.049036879,-61.71436484,2.158636873,-69.9442646,1047.21752559983,21.1673916259203,2.95084511268479
"PET-C",2012-01-29 15:50:49,-9.361318312,-61.59591623,2.158636873,-69.9442646,1066.05157663466,2.06850032728613,-3.01626883781813
"PET-C",2012-01-29 16:20:49,-9.328003106,-61.60554458,2.158636873,-69.9442646,1064.34450508449,20.0956684594036,0.0425742002395027
